0,1,2,-,audioFiles/AmPentatonic/A.mp3
1,3,4,-,audioFiles/AmPentatonic/C.mp3
2,3,4,-,audioFiles/AmPentatonic/D.mp3
3,0,0,-,audioFiles/AmPentatonic/E.mp3
4,0,0,-,audioFiles/AmPentatonic/G.mp3
